time_s,well,pw_pa,q_m3s,qw_m3s,qo_m3s,qg_m3s
152928000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
152928000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
152928000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
152928000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
155520000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
155520000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
155520000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
155520000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
155520000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
158112000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
158112000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
158112000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
158112000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
158112000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
160704000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
160704000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
160704000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
160704000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
160704000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
163296000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
163296000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
163296000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
163296000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
163296000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
165888000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
165888000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
165888000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
165888000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
165888000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
168480000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
168480000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
168480000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
168480000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
168480000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
171072000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
171072000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
171072000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
171072000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
171072000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
173664000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
173664000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
173664000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
173664000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
173664000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
176256000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
176256000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
176256000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
176256000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
176256000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
178848000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
178848000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
178848000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
178848000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
178848000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
181440000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
181440000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
181440000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
181440000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
181440000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
184032000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
184032000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
184032000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
184032000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
