cell,i,j,k,x_m,y_m,z_m
406,1,12,1,0.03,0.25,0.03
407,2,12,1,0.05,0.25,0.03
408,3,12,1,0.07,0.25,0.03
409,4,12,1,0.09,0.25,0.03
410,5,12,1,0.11,0.25,0.03
411,6,12,1,0.13,0.25,0.03
412,7,12,1,0.15,0.25,0.03
413,8,12,1,0.17,0.25,0.03
414,9,12,1,0.19,0.25,0.03
415,10,12,1,0.21,0.25,0.03
416,11,12,1,0.23,0.25,0.03
417,12,12,1,0.25,0.25,0.03
418,13,12,1,0.27,0.25,0.03
419,14,12,1,0.29,0.25,0.03
420,0,13,1,0.01,0.27,0.03
421,1,13,1,0.03,0.27,0.03
422,2,13,1,0.05,0.27,0.03
423,3,13,1,0.07,0.27,0.03
424,4,13,1,0.09,0.27,0.03
425,5,13,1,0.11,0.27,0.03
426,6,13,1,0.13,0.27,0.03
427,7,13,1,0.15,0.27,0.03
428,8,13,1,0.17,0.27,0.03
429,9,13,1,0.19,0.27,0.03
430,10,13,1,0.21,0.27,0.03
431,11,13,1,0.23,0.27,0.03
432,12,13,1,0.25,0.27,0.03
433,13,13,1,0.27,0.27,0.03
434,14,13,1,0.29,0.27,0.03
435,0,14,1,0.01,0.29,0.03
436,1,14,1,0.03,0.29,0.03
437,2,14,1,0.05,0.29,0.03
438,3,14,1,0.07,0.29,0.03
439,4,14,1,0.09,0.29,0.03
440,5,14,1,0.11,0.29,0.03
441,6,14,1,0.13,0.29,0.03
442,7,14,1,0.15,0.29,0.03
443,8,14,1,0.17,0.29,0.03
444,9,14,1,0.19,0.29,0.03
445,10,14,1,0.21,0.29,0.03
446,11,14,1,0.23,0.29,0.03
447,12,14,1,0.25,0.29,0.03
448,13,14,1,0.27,0.29,0.03
449,14,14,1,0.29,0.29,0.03
450,0,0,2,0.01,0.01,0.05
451,1,0,2,0.03,0.01,0.05
452,2,0,2,0.05,0.01,0.05
453,3,0,2,0.07,0.01,0.05
454,4,0,2,0.09,0.01,0.05
455,5,0,2,0.11,0.01,0.05
456,6,0,2,0.13,0.01,0.05
457,7,0,2,0.15,0.01,0.05
458,8,0,2,0.17,0.01,0.05
459,9,0,2,0.19,0.01,0.05
460,10,0,2,0.21,0.01,0.05
461,11,0,2,0.23,0.01,0.05
462,12,0,2,0.25,0.01,0.05
463,13,0,2,0.27,0.01,0.05
464,14,0,2,0.29,0.01,0.05
465,0,1,2,0.01,0.03,0.05
466,1,1,2,0.03,0.03,0.05
467,2,1,2,0.05,0.03,0.05
468,3,1,2,0.07,0.03,0.05
469,4,1,2,0.09,0.03,0.05
470,5,1,2,0.11,0.03,0.05
471,6,1,2,0.13,0.03,0.05
472,7,1,2,0.15,0.03,0.05
473,8,1,2,0.17,0.03,0.05
474,9,1,2,0.19,0.03,0.05
475,10,1,2,0.21,0.03,0.05
476,11,1,2,0.23,0.03,0.05
477,12,1,2,0.25,0.03,0.05
478,13,1,2,0.27,0.03,0.05
479,14,1,2,0.29,0.03,0.05
480,0,2,2,0.01,0.05,0.05
481,1,2,2,0.03,0.05,0.05
482,2,2,2,0.05,0.05,0.05
483,3,2,2,0.07,0.05,0.05
484,4,2,2,0.09,0.05,0.05
485,5,2,2,0.11,0.05,0.05
486,6,2,2,0.13,0.05,0.05
487,7,2,2,0.15,0.05,0.05
488,8,2,2,0.17,0.05,0.05
489,9,2,2,0.19,0.05,0.05
490,10,2,2,0.21,0.05,0.05
491,11,2,2,0.23,0.05,0.05
492,12,2,2,0.25,0.05,0.05
493,13,2,2,0.27,0.05,0.05
494,14,2,2,0.29,0.05,0.05
495,0,3,2,0.01,0.07,0.05
496,1,3,2,0.03,0.07,0.05
497,2,3,2,0.05,0.07,0.05
498,3,3,2,0.07,0.07,0.05
499,4,3,2,0.09,0.07,0.05
500,5,3,2,0.11,0.07,0.05
501,6,3,2,0.13,0.07,0.05
502,7,3,2,0.15,0.07,0.05
503,8,3,2,0.17,0.07,0.05
504,9,3,2,0.19,0.07,0.05
505,10,3,2,0.21,0.07,0.05
506,11,3,2,0.23,0.07,0.05
507,12,3,2,0.25,0.07,0.05
508,13,3,2,0.27,0.07,0.05
509,14,3,2,0.29,0.07,0.05
510,0,4,2,0.01,0.09,0.05
511,1,4,2,0.03,0.09,0.05
512,2,4,2,0.05,0.09,0.05
513,3,4,2,0.07,0.09,0.05
514,4,4,2,0.09,0.09,0.05
515,5,4,2,0.11,0.09,0.05
516,6,4,2,0.13,0.09,0.05
517,7,4,2,0.15,0.09,0.05
518,8,4,2,0.17,0.09,0.05
519,9,4,2,0.19,0.09,0.05
520,10,4,2,0.21,0.09,0.05
521,11,4,2,0.23,0.09,0.05
522,12,4,2,0.25,0.09,0.05
523,13,4,2,0.27,0.09,0.05
524,14,4,2,0.29,0.09,0.05
525,0,5,2,0.01,0.11,0.05
526,1,5,2,0.03,0.11,0.05
527,2,5,2,0.05,0.11,0.05
528,3,5,2,0.07,0.11,0.05
529,4,5,2,0.09,0.11,0.05
530,5,5,2,0.11,0.11,0.05
531,6,5,2,0.13,0.11,0.05
532,7,5,2,0.15,0.11,0.05
533,8,5,2,0.17,0.11,0.05
534,9,5,2,0.19,0.11,0.05
535,10,5,2,0.21,0.11,0.05
536,11,5,2,0.23,0.11,0.05
537,12,5,2,0.25,0.11,0.05
538,13,5,2,0.27,0.11,0.05
539,14,5,2,0.29,0.11,0.05
540,0,6,2,0.01,0.13,0.05
541,1,6,2,0.03,0.13,0.05
542,2,6,2,0.05,0.13,0.05
543,3,6,2,0.07,0.13,0.05
544,4,6,2,0.09,0.13,0.05
545,5,6,2,0.11,0.13,0.05
546,6,6,2,0.13,0.13,0.05
547,7,6,2,0.15,0.13,0.05
548,8,6,2,0.17,0.13,0.05
549,9,6,2,0.19,0.13,0.05
550,10,6,2,0.21,0.13,0.05
551,11,6,2,0.23,0.13,0.05
552,12,6,2,0.25,0.13,0.05
553,13,6,2,0.27,0.13,0.05
554,14,6,2,0.29,0.13,0.05
555,0,7,2,0.01,0.15,0.05
556,1,7,2,0.03,0.15,0.05
557,2,7,2,0.05,0.15,0.05
558,3,7,2,0.07,0.15,0.05
559,4,7,2,0.09,0.15,0.05
560,5,7,2,0.11,0.15,0.05
561,6,7,2,0.13,0.15,0.05
562,7,7,2,0.15,0.15,0.05
563,8,7,2,0.17,0.15,0.05
564,9,7,2,0.19,0.15,0.05
565,10,7,2,0.21,0.15,0.05
566,11,7,2,0.23,0.15,0.05
567,12,7,2,0.25,0.15,0.05
568,13,7,2,0.27,0.15,0.05
569,14,7,2,0.29,0.15,0.05
570,0,8,2,0.01,0.17,0.05
571,1,8,2,0.03,0.17,0.05
572,2,8,2,0.05,0.17,0.05
573,3,8,2,0.07,0.17,0.05
574,4,8,2,0.09,0.17,0.05
575,5,8,2,0.11,0.17,0.05
576,6,8,2,0.13,0.17,0.05
577,7,8,2,0.15,0.17,0.05
578,8,8,2,0.17,0.17,0.05
579,9,8,2,0.19,0.17,0.05
580,10,8,2,0.21,0.17,0.05
581,11,8,2,0.23,0.17,0.05
582,12,8,2,0.25,0.17,0.05
583,13,8,2,0.27,0.17,0.05
584,14,8,2,0.29,0.17,0.05
585,0,9,2,0.01,0.19,0.05
586,1,9,2,0.03,0.19,0.05
587,2,9,2,0.05,0.19,0.05
588,3,9,2,0.07,0.19,0.05
589,4,9,2,0.09,0.19,0.05
590,5,9,2,0.11,0.19,0.05
591,6,9,2,0.13,0.19,0.05
592,7,9,2,0.15,0.19,0.05
593,8,9,2,0.17,0.19,0.05
594,9,9,2,0.19,0.19,0.05
595,10,9,2,0.21,0.19,0.05
596,11,9,2,0.23,0.19,0.05
597,12,9,2,0.25,0.19,0.05
598,13,9,2,0.27,0.19,0.05
599,14,9,2,0.29,0.19,0.05
600,0,10,2,0.01,0.21,0.05
601,1,10,2,0.03,0.21,0.05
602,2,10,2,0.05,0.21,0.05
603,3,10,2,0.07,0.21,0.05
604,4,10,2,0.09,0.21,0.05
605,5,10,2,0.11,0.21,0.05
606,6,10,2,0.13,0.21,0.05
607,7,10,2,0.15,0.21,0.05
608,8,10,2,0.17,0.21,0.05
609,9,10,2,0.19,0.21,0.05
610,10,10,2,0.21,0.21,0.05
611,11,10,2,0.23,0.21,0.05
612,12,10,2,0.25,0.21,0.05
613,13,10,2,0.27,0.21,0.05
614,14,10,2,0.29,0.21,0.05
615,0,11,2,0.01,0.23,0.05
616,1,11,2,0.03,0.23,0.05
617,2,11,2,0.05,0.23,0.05
618,3,11,2,0.07,0.23,0.05
619,4,11,2,0.09,0.23,0.05
620,5,11,2,0.11,0.23,0.05
621,6,11,2,0.13,0.23,0.05
622,7,11,2,0.15,0.23,0.05
623,8,11,2,0.17,0.23,0.05
624,9,11,2,0.19,0.23,0.05
625,10,11,2,0.21,0.23,0.05
626,11,11,2,0.23,0.23,0.05
627,12,11,2,0.25,0.23,0.05
628,13,11,2,0.27,0.23,0.05
629,14,11,2,0.29,0.23,0.05
630,0,12,2,0.01,0.25,0.05
631,1,12,2,0.03,0.25,0.05
632,2,12,2,0.05,0.25,0.05
633,3,12,2,0.07,0.25,0.05
634,4,12,2,0.09,0.25,0.05
635,5,12,2,0.11,0.25,0.05
636,6,12,2,0.13,0.25,0.05
637,7,12,2,0.15,0.25,0.05
638,8,12,2,0.17,0.25,0.05
639,9,12,2,0.19,0.25,0.05
640,10,12,2,0.21,0.25,0.05
641,11,12,2,0.23,0.25,0.05
642,12,12,2,0.25,0.25,0.05
643,13,12,2,0.27,0.25,0.05
644,14,12,2,0.29,0.25,0.05
645,0,13,2,0.01,0.27,0.05
646,1,13,2,0.03,0.27,0.05
647,2,13,2,0.05,0.27,0.05
648,3,13,2,0.07,0.27,0.05
649,4,13,2,0.09,0.27,0.05
650,5,13,2,0.11,0.27,0.05
651,6,13,2,0.13,0.27,0.05
652,7,13,2,0.15,0.27,0.05
653,8,13,2,0.17,0.27,0.05
654,9,13,2,0.19,0.27,0.05
655,10,13,2,0.21,0.27,0.05
656,11,13,2,0.23,0.27,0.05
657,12,13,2,0.25,0.27,0.05
658,13,13,2,0.27,0.27,0.05
659,14,13,2,0.29,0.27,0.05
660,0,14,2,0.01,0.29,0.05
661,1,14,2,0.03,0.29,0.05
662,2,14,2,0.05,0.29,0.05
663,3,14,2,0.07,0.29,0.05
664,4,14,2,0.09,0.29,0.05
665,5,14,2,0.11,0.29,0.05
666,6,14,2,0.13,0.29,0.05
667,7,14,2,0.15,0.29,0.05
668,8,14,2,0.17,0.29,0.05
669,9,14,2,0.19,0.29,0.05
670,10,14,2,0.21,0.29,0.05
671,11,14,2,0.23,0.29,0.05
672,12,14,2,0.25,0.29,0.05
673,13,14,2,0.27,0.29,0.05
674,14,14,2,0.29,0.29,0.05
675,0,0,3,0.01,0.01,0.07
676,1,0,3,0.03,0.01,0.07
677,2,0,3,0.05,0.01,0.07
678,3,0,3,0.07,0.01,0.07
679,4,0,3,0.09,0.01,0.07
680,5,0,3,0.11,0.01,0.07
681,6,0,3,0.13,0.01,0.07
682,7,0,3,0.15,0.01,0.07
683,8,0,3,0.17,0.01,0.07
684,9,0,3,0.19,0.01,0.07
685,10,0,3,0.21,0.01,0.07
686,11,0,3,0.23,0.01,0.07
687,12,0,3,0.25,0.01,0.07
688,13,0,3,0.27,0.01,0.07
689,14,0,3,0.29,0.01,0.07
690,0,1,3,0.01,0.03,0.07
691,1,1,3,0.03,0.03,0.07
692,2,1,3,0.05,0.03,0.07
693,3,1,3,0.07,0.03,0.07
